iter	Passed	Remaining
0	1	185
1	2	98
2	2	68
3	2	55
4	2	51
5	3	44
6	3	39
7	3	35
8	3	32
9	3	29
10	3	27
11	3	25
12	3	24
13	3	22
14	4	21
15	4	20
16	4	19
17	4	18
18	4	17
19	4	17
20	4	16
21	4	16
22	4	15
23	5	14
24	5	14
25	5	13
26	5	13
27	5	13
28	5	12
29	5	12
30	5	11
31	5	11
32	6	11
33	6	11
34	6	10
35	6	10
36	6	10
37	6	10
38	6	9
39	6	9
40	7	9
41	7	9
42	7	8
43	7	8
44	7	8
45	7	8
46	7	8
47	7	7
48	8	7
49	8	7
50	8	7
51	8	7
52	8	6
53	8	6
54	8	6
55	9	6
56	9	6
57	9	5
58	9	5
59	9	5
60	9	5
61	9	5
62	9	5
63	10	4
64	10	4
65	10	4
66	10	4
67	10	4
68	10	4
69	10	3
70	10	3
71	11	3
72	11	3
73	11	3
74	11	3
75	11	2
76	11	2
77	11	2
78	12	2
79	12	2
80	12	2
81	12	1
82	12	1
83	12	1
84	12	1
85	12	1
86	13	1
87	13	1
88	13	0
89	13	0
90	13	0
91	13	0
92	13	0
93	13	0
94	14	0
